#Wind Turbine Test Standard Weather File
$state_name=USA
$city_name=Anytown
$lat_deg=12
$lat_min=34
$long_deg=12
$long_min=34
$timezone_offset=0
temperature,wind_speed,pressure
#month:day:hour:minute:second
04:01:00:00:00,32,0.000,1000
04:01:00:00:21,32,0.010,1000
04:01:00:00:43,32,0.020,1000
04:01:00:01:04,32,0.030,1000
04:01:00:01:26,32,0.040,1000
04:01:00:01:48,32,0.050,1000
04:01:00:02:09,32,0.060,1000
04:01:00:02:31,32,0.070,1000
04:01:00:02:52,32,0.080,1000
04:01:00:03:14,32,0.090,1000
04:01:00:03:36,32,0.100,1000
04:01:00:03:57,32,0.110,1000
04:01:00:04:19,32,0.120,1000
04:01:00:04:40,32,0.130,1000
04:01:00:05:02,32,0.140,1000
04:01:00:05:24,32,0.150,1000
04:01:00:05:45,32,0.160,1000
04:01:00:06:07,32,0.170,1000
04:01:00:06:28,32,0.180,1000
04:01:00:06:50,32,0.190,1000
04:01:00:07:12,32,0.200,1000
04:01:00:07:33,32,0.210,1000
04:01:00:07:55,32,0.220,1000
04:01:00:08:16,32,0.230,1000
04:01:00:08:38,32,0.240,1000
04:01:00:09:00,32,0.250,1000
04:01:00:09:21,32,0.260,1000
04:01:00:09:43,32,0.270,1000
04:01:00:10:04,32,0.280,1000
04:01:00:10:26,32,0.290,1000
04:01:00:10:48,32,0.300,1000
04:01:00:11:09,32,0.310,1000
04:01:00:11:31,32,0.320,1000
04:01:00:11:52,32,0.330,1000
04:01:00:12:14,32,0.340,1000
04:01:00:12:36,32,0.350,1000
04:01:00:12:57,32,0.360,1000
04:01:00:13:19,32,0.370,1000
04:01:00:13:40,32,0.380,1000
04:01:00:14:02,32,0.390,1000
04:01:00:14:24,32,0.400,1000
04:01:00:14:45,32,0.410,1000
04:01:00:15:07,32,0.420,1000
04:01:00:15:28,32,0.430,1000
04:01:00:15:50,32,0.440,1000
04:01:00:16:12,32,0.450,1000
04:01:00:16:33,32,0.460,1000
04:01:00:16:55,32,0.470,1000
04:01:00:17:16,32,0.480,1000
04:01:00:17:38,32,0.490,1000
04:01:00:18:00,32,0.500,1000
04:01:00:18:21,32,0.510,1000
04:01:00:18:43,32,0.520,1000
04:01:00:19:04,32,0.530,1000
04:01:00:19:26,32,0.540,1000
04:01:00:19:48,32,0.550,1000
04:01:00:20:09,32,0.560,1000
04:01:00:20:31,32,0.570,1000
04:01:00:20:52,32,0.580,1000
04:01:00:21:14,32,0.590,1000
04:01:00:21:36,32,0.600,1000
04:01:00:21:57,32,0.610,1000
04:01:00:22:19,32,0.620,1000
04:01:00:22:40,32,0.630,1000
04:01:00:23:02,32,0.640,1000
04:01:00:23:24,32,0.650,1000
04:01:00:23:45,32,0.660,1000
04:01:00:24:07,32,0.670,1000
04:01:00:24:28,32,0.680,1000
04:01:00:24:50,32,0.690,1000
04:01:00:25:12,32,0.700,1000
04:01:00:25:33,32,0.710,1000
04:01:00:25:55,32,0.720,1000
04:01:00:26:16,32,0.730,1000
04:01:00:26:38,32,0.740,1000
04:01:00:27:00,32,0.750,1000
04:01:00:27:21,32,0.760,1000
04:01:00:27:43,32,0.770,1000
04:01:00:28:04,32,0.780,1000
04:01:00:28:26,32,0.790,1000
04:01:00:28:48,32,0.800,1000
04:01:00:29:09,32,0.810,1000
04:01:00:29:31,32,0.820,1000
04:01:00:29:52,32,0.830,1000
04:01:00:30:14,32,0.840,1000
04:01:00:30:36,32,0.850,1000
04:01:00:30:57,32,0.860,1000
04:01:00:31:19,32,0.870,1000
04:01:00:31:40,32,0.880,1000
04:01:00:32:02,32,0.890,1000
04:01:00:32:24,32,0.900,1000
04:01:00:32:45,32,0.910,1000
04:01:00:33:07,32,0.920,1000
04:01:00:33:28,32,0.930,1000
04:01:00:33:50,32,0.940,1000
04:01:00:34:12,32,0.950,1000
04:01:00:34:33,32,0.960,1000
04:01:00:34:55,32,0.970,1000
04:01:00:35:16,32,0.980,1000
04:01:00:35:38,32,0.990,1000
04:01:00:36:00,32,1.000,1000
04:01:00:36:21,32,1.010,1000
04:01:00:36:43,32,1.020,1000
04:01:00:37:04,32,1.030,1000
04:01:00:37:26,32,1.040,1000
04:01:00:37:48,32,1.050,1000
04:01:00:38:09,32,1.060,1000
04:01:00:38:31,32,1.070,1000
04:01:00:38:52,32,1.080,1000
04:01:00:39:14,32,1.090,1000
04:01:00:39:36,32,1.100,1000
04:01:00:39:57,32,1.110,1000
04:01:00:40:19,32,1.120,1000
04:01:00:40:40,32,1.130,1000
04:01:00:41:02,32,1.140,1000
04:01:00:41:24,32,1.150,1000
04:01:00:41:45,32,1.160,1000
04:01:00:42:07,32,1.170,1000
04:01:00:42:28,32,1.180,1000
04:01:00:42:50,32,1.190,1000
04:01:00:43:12,32,1.200,1000
04:01:00:43:33,32,1.210,1000
04:01:00:43:55,32,1.220,1000
04:01:00:44:16,32,1.230,1000
04:01:00:44:38,32,1.240,1000
04:01:00:45:00,32,1.250,1000
04:01:00:45:21,32,1.260,1000
04:01:00:45:43,32,1.270,1000
04:01:00:46:04,32,1.280,1000
04:01:00:46:26,32,1.290,1000
04:01:00:46:48,32,1.300,1000
04:01:00:47:09,32,1.310,1000
04:01:00:47:31,32,1.320,1000
04:01:00:47:52,32,1.330,1000
04:01:00:48:14,32,1.340,1000
04:01:00:48:36,32,1.350,1000
04:01:00:48:57,32,1.360,1000
04:01:00:49:19,32,1.370,1000
04:01:00:49:40,32,1.380,1000
04:01:00:50:02,32,1.390,1000
04:01:00:50:24,32,1.400,1000
04:01:00:50:45,32,1.410,1000
04:01:00:51:07,32,1.420,1000
04:01:00:51:28,32,1.430,1000
04:01:00:51:50,32,1.440,1000
04:01:00:52:12,32,1.450,1000
04:01:00:52:33,32,1.460,1000
04:01:00:52:55,32,1.470,1000
04:01:00:53:16,32,1.480,1000
04:01:00:53:38,32,1.490,1000
04:01:00:54:00,32,1.500,1000
04:01:00:54:21,32,1.510,1000
04:01:00:54:43,32,1.520,1000
04:01:00:55:04,32,1.530,1000
04:01:00:55:26,32,1.540,1000
04:01:00:55:48,32,1.550,1000
04:01:00:56:09,32,1.560,1000
04:01:00:56:31,32,1.570,1000
04:01:00:56:52,32,1.580,1000
04:01:00:57:14,32,1.590,1000
04:01:00:57:36,32,1.600,1000
04:01:00:57:57,32,1.610,1000
04:01:00:58:19,32,1.620,1000
04:01:00:58:40,32,1.630,1000
04:01:00:59:02,32,1.640,1000
04:01:00:59:24,32,1.650,1000
04:01:00:59:45,32,1.660,1000
04:01:01:00:07,32,1.670,1000
04:01:01:00:28,32,1.680,1000
04:01:01:00:50,32,1.690,1000
04:01:01:01:12,32,1.700,1000
04:01:01:01:33,32,1.710,1000
04:01:01:01:55,32,1.720,1000
04:01:01:02:16,32,1.730,1000
04:01:01:02:38,32,1.740,1000
04:01:01:03:00,32,1.750,1000
04:01:01:03:21,32,1.760,1000
04:01:01:03:43,32,1.770,1000
04:01:01:04:04,32,1.780,1000
04:01:01:04:26,32,1.790,1000
04:01:01:04:48,32,1.800,1000
04:01:01:05:09,32,1.810,1000
04:01:01:05:31,32,1.820,1000
04:01:01:05:52,32,1.830,1000
04:01:01:06:14,32,1.840,1000
04:01:01:06:36,32,1.850,1000
04:01:01:06:57,32,1.860,1000
04:01:01:07:19,32,1.870,1000
04:01:01:07:40,32,1.880,1000
04:01:01:08:02,32,1.890,1000
04:01:01:08:24,32,1.900,1000
04:01:01:08:45,32,1.910,1000
04:01:01:09:07,32,1.920,1000
04:01:01:09:28,32,1.930,1000
04:01:01:09:50,32,1.940,1000
04:01:01:10:12,32,1.950,1000
04:01:01:10:33,32,1.960,1000
04:01:01:10:55,32,1.970,1000
04:01:01:11:16,32,1.980,1000
04:01:01:11:38,32,1.990,1000
04:01:01:12:00,32,2.000,1000
04:01:01:12:21,32,2.010,1000
04:01:01:12:43,32,2.020,1000
04:01:01:13:04,32,2.030,1000
04:01:01:13:26,32,2.040,1000
04:01:01:13:48,32,2.050,1000
04:01:01:14:09,32,2.060,1000
04:01:01:14:31,32,2.070,1000
04:01:01:14:52,32,2.080,1000
04:01:01:15:14,32,2.090,1000
04:01:01:15:36,32,2.100,1000
04:01:01:15:57,32,2.110,1000
04:01:01:16:19,32,2.120,1000
04:01:01:16:40,32,2.130,1000
04:01:01:17:02,32,2.140,1000
04:01:01:17:24,32,2.150,1000
04:01:01:17:45,32,2.160,1000
04:01:01:18:07,32,2.170,1000
04:01:01:18:28,32,2.180,1000
04:01:01:18:50,32,2.190,1000
04:01:01:19:12,32,2.200,1000
04:01:01:19:33,32,2.210,1000
04:01:01:19:55,32,2.220,1000
04:01:01:20:16,32,2.230,1000
04:01:01:20:38,32,2.240,1000
